Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
8263,59074,8/12/2010,Low,37,589.63,0.03,Regular Air,70.8,14.98,8.99,Jack Lebron,British Columbia,West,Corporate,Furniture,Office Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",Small Pack,0.39,8/14/2010
8292,59233,8/20/2010,High,3,336.84,0.08,Delivery Truck,-160.46,100.98,35.84,Jack Lebron,British Columbia,West,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",Jumbo Box,0.62,8/22/2010
8293,59233,8/20/2010,High,30,397.17,0.1,Express Air,7.69,14.34,5,Jack Lebron,British Columbia,West,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49,8/20/2010
8316,59425,5/17/2012,Medium,24,2094.12,0,Regular Air,717.12,83.1,6.13,Giulietta Baptist,British Columbia,West,Home Office,Technology,Computer Peripherals,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Small Box,0.45,5/19/2012
8317,59425,5/17/2012,Medium,46,1714.02,0.04,Regular Air,741.27,37.94,5.08,Giulietta Baptist,British Columbia,West,Home Office,Office Supplies,Paper,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Wrap Bag,0.38,5/20/2012
8360,59750,7/9/2010,Low,34,223.59,0.04,Regular Air,-66.05,6.48,5.74,Jim Sink,British Columbia,West,Corporate,Office Supplies,Paper,Xerox 1994,Small Box,0.37,7/13/2010
7,35,10/22/2011,Not Specified,30,288.56,0.03,Regular Air,60.72,9.11,2.25,Julie Creighton,British Columbia,West,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52,10/23/2011
8,35,10/22/2011,Not Specified,14,1892.848,0.01,Regular Air,48.99,155.99,8.99,Julie Creighton,British Columbia,West,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.58,10/24/2011
51,294,7/15/2010,Medium,35,6375.28,0.06,Regular Air,489.02,193.17,19.99,Sanjit Chand,British Columbia,West,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71,7/16/2010
76,450,3/4/2011,Not Specified,29,1000.78,0.05,Express Air,109.33,34.58,8.99,Matt Collins,British Columbia,West,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56,3/5/2011
77,450,3/4/2011,Not Specified,35,543.72,0.05,Regular Air,-211.13,15.7,11.25,Matt Collins,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,3/6/2011
164,1028,1/5/2009,High,6,165.75,0.03,Regular Air,-28.46,28.48,1.99,Matt Collins,British Columbia,West,Consumer,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4,1/6/2009
165,1028,1/5/2009,High,11,2021.147,0.01,Regular Air,-60.39,205.99,5.99,Matt Collins,British Columbia,West,Consumer,Technology,Telephones and Communication,3285,Small Box,0.59,1/7/2009
199,1314,5/12/2009,Medium,4,42.58,0,Regular Air,-7.61,9.27,4.39,Justin Knight,British Columbia,West,Corporate,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Wrap Bag,0.38,5/14/2009
